21, documentario, The Social Dilemma,Document rio/Drama,2020,14 anos,Jeff Orlowski
22, documentario, 13th,Document rio/Crime,2016,16 anos,Ava DuVernay
23, documentario, "Tiger King: Murder, Mayhem and Madness",Document rio/Crime,2020,16 anos,"Eric Goode, Rebecca Chaiklin"
24, documentario, Blackfish,Document rio,2013,12 anos,Gabriela Cowperthwaite
25, documentario, Fyre: The Greatest Party That Never Happened,Document rio,2019,14 anos,Chris Smith
26, documentario, Icarus,Document rio/Esporte,2017,16 anos,Bryan Fogel
27, documentario, The Keepers,Document rio/Crime,2017,16 anos,Ryan White
28, documentario, Chef's Table,Document rio/Gastronomia,2015,Livre,David Gelb
29, documentario, Wild Wild Country,Document rio/Crime,2018,16 anos,"Chapman Way, Maclain Way"
30, documentario, The Last Dance,Document rio/Esporte,2020,14 anos,Jason Hehir
